,"Salmon, Chinook (California Coastal)","Salmon, Chinook (Central Valley Spring-run)","Salmon, Chinook (Lower Columbia River)","Salmon, Chinook (Puget Sound)","Salmon, Chinook (Sacramento River Winter-run)","Salmon, Chinook (Snake River Fall-run)","Salmon, Chinook (Snake River Spring/Summer-run)","Salmon, Chinook (Upper Columbia River Spring-run)","Salmon, Chinook (Upper Willamette River)","Salmon, Chum (Columbia River)","Salmon, Chum (Hood Canal Summer-run)","Salmon, Coho (Central California Coast)","Salmon, Coho (Lower Columbia River)","Salmon, Coho (Oregon Coast)","Salmon, Coho (Southern OR\Northern CA Coasts)","Salmon, Sockeye (Ozette Lake)","Salmon, Sockeye (Snake River)",Steelhead (California Central Valley),Steelhead (Central California Coast),Steelhead (Lower Columbia River),Steelhead (Middle Columbia River),Steelhead (Northern California),Steelhead (Puget Sound),Steelhead (Snake River Basin),Steelhead (South Central California Coast),Steelhead (Southern California),Steelhead (Upper Columbia River)
"Salmon, Chinook (Central Valley Spring-run)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chinook (Lower Columbia River)",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chinook (Puget Sound)",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chinook (Sacramento River Winter-run)",0,0.326626564,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chinook (Snake River Fall-run)",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chinook (Snake River Spring/Summer-run)",0,0,0,0,0,0.116158625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chinook (Upper Columbia River Spring-run)",0,0,0,0,0,0,0,3.01E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chinook (Upper Willamette River)",0,0,0.040065591,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chum (Columbia River)",0,0,0.028427861,0,0,0,0,0,0.022375037,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Chum (Hood Canal Summer-run)",0,0,0,0.09726696,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Coho (Central California Coast)",0.015156011,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Coho (Lower Columbia River)",0,0,0.025176909,0,0,0,0,0,0.040065592,0.028427861,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Coho (Oregon Coast)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Coho (Southern OR\Northern CA Coasts)",0.245463127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Sockeye (Ozette Lake)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon, Sockeye (Snake River)",0,0,0,0,0,0,0.008217539,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steelhead (California Central Valley),0,0.524991172,0,0,0.222461867,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steelhead (Central California Coast),0.110217043,0,0,0,0,0,0,0,0,0,0,0.450332978,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Steelhead (Lower Columbia River),0,0,0.243103853,0,0,0,0,0,0.045745078,0.319709917,0,0,0.243103861,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
Steelhead (Middle Columbia River),0,0,0.004670398,0,0,0,0,0,0,0.010833541,0,0,0.004670398,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
Steelhead (Northern California),0.15597287,0,0,0,0,0,0,0,0,0,0,0.185459493,0,0,0.263735302,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA
Steelhead (Puget Sound),0,0,0,0.660778674,0,0,0,0,0,0,0.007040618,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Steelhead (Snake River Basin),0,0,0,0,0,0.047306663,0.778233538,0,0,0,0,0,0,0,0,0,0.007401748,0,0,0,0,0,0,1,NA,NA,NA
Steelhead (South Central California Coast),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
Steelhead (Southern California),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
Steelhead (Upper Columbia River),0,0,0,0,0,0,0,0.802584644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+00
Steelhead (Upper Willamette River),0,0,0.000156722,0,0,0,0,0,0.410903458,0.000201023,0,0,0.000156722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
