Sp,Action.Agency.Proposed.Effect.Determination..Species.,Score
Jeopardy,No Effect,-3
No Jeopardy,No Effect,-2
Not Likely to Adversely Affect,No Effect,-1
No Effect,No Effect,0
Jeopardy,Not Likely to Adversely Affect,-2
No Jeopardy,Not Likely to Adversely Affect,-1
Not Likely to Adversely Affect,Not Likely to Adversely Affect,0
No Effect,Not Likely to Adversely Affect,1
Jeopardy,Likely to Adversely Affect,0
No Jeopardy,Likely to Adversely Affect,0
Not Likely to Adversely Affect,Likely to Adversely Affect,1
No Effect,Likely to Adversely Affect,2
Jeopardy,Proposed Species - Likely to Jeopardize,0
No Jeopardy,Proposed Species - Likely to Jeopardize,1
Not Likely to Adversely Affect,Proposed Species - Likely to Jeopardize,2
No Effect,Proposed Species - Likely to Jeopardize,3
Jeopardy,Proposed Species - Not Likely to Jeopardize,-1
No Jeopardy,Proposed Species - Not Likely to Jeopardize,0
Not Likely to Adversely Affect,Proposed Species - Not Likely to Jeopardize,0
No Effect,Proposed Species - Not Likely to Jeopardize,1
